trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
81,False,"{'a': 0.6, 'e': 0.5949999999999996}",25,0,-159.38156608877645,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
82,False,"{'a': 0.6, 'e': 0.5899999999999996}",20,3,-74.97859492789034,"{0: 13, 1: 0, 2: 1, 3: 2, 4: 1}",1
83,False,"{'a': 0.6, 'e': 0.5849999999999996}",25,0,-132.05437754986124,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",1
84,False,"{'a': 0.6, 'e': 0.5799999999999996}",20,0,-86.49239844219716,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
85,False,"{'a': 0.6, 'e': 0.5749999999999996}",25,0,-25.950896523942053,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
86,False,"{'a': 0.6, 'e': 0.5699999999999996}",25,0,-59.847322454620915,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
87,False,"{'a': 0.6, 'e': 0.5649999999999996}",30,22,-4.032449993327275,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.6, 'e': 0.5599999999999996}",20,10,-32.344444637017446,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
89,False,"{'a': 0.6, 'e': 0.5549999999999996}",30,17,-14.687414746905702,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
90,False,"{'a': 0.6, 'e': 0.5499999999999996}",25,9,-89.30242839641944,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 2}",1
91,False,"{'a': 0.6, 'e': 0.5449999999999996}",20,0,-39.473345528633885,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
92,False,"{'a': 0.6, 'e': 0.5399999999999996}",20,14,8.623166452253411,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.6, 'e': 0.5349999999999996}",25,0,-141.14478608616207,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
94,False,"{'a': 0.6, 'e': 0.5299999999999996}",20,3,27.537963459608036,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.6, 'e': 0.5249999999999996}",20,0,-59.403104815248035,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
96,False,"{'a': 0.6, 'e': 0.5199999999999996}",20,8,-23.601162408400803,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
97,False,"{'a': 0.6, 'e': 0.5149999999999996}",20,0,14.117548443179968,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
98,False,"{'a': 0.6, 'e': 0.5099999999999996}",25,5,-41.988425841076875,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",1
99,False,"{'a': 0.6, 'e': 0.5049999999999996}",35,4,-165.16676712857512,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 3}",1
100,False,"{'a': 0.6, 'e': 0.49999999999999956}",25,4,4.838173185313613,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
101,False,"{'a': 0.6, 'e': 0.49499999999999955}",25,4,-27.50117500275697,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 1}",1
102,False,"{'a': 0.6, 'e': 0.48999999999999955}",25,9,-73.19009908148422,"{0: 11, 1: 2, 2: 0, 3: 2, 4: 1}",1
103,False,"{'a': 0.6, 'e': 0.48499999999999954}",20,0,-36.70530399653324,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
104,False,"{'a': 0.6, 'e': 0.47999999999999954}",20,3,-12.670455353056095,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 0}",1
105,False,"{'a': 0.6, 'e': 0.47499999999999953}",20,9,10.172385373752794,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.6, 'e': 0.46999999999999953}",20,0,-68.80863815684609,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
107,False,"{'a': 0.6, 'e': 0.4649999999999995}",25,0,-1.3815232120349386,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
108,False,"{'a': 0.6, 'e': 0.4599999999999995}",20,5,6.811677143063374,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.6, 'e': 0.4549999999999995}",35,17,7.707429320995523,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.6, 'e': 0.4499999999999995}",20,0,-8.015654810704396,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
111,False,"{'a': 0.6, 'e': 0.4449999999999995}",20,0,-63.46794745642144,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
112,False,"{'a': 0.6, 'e': 0.4399999999999995}",25,10,-36.18823078520574,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
113,False,"{'a': 0.6, 'e': 0.4349999999999995}",20,13,11.709276437857103,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.6, 'e': 0.4299999999999995}",20,5,12.079416784045641,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.6, 'e': 0.4249999999999995}",20,0,-2.9891426730475095,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
116,False,"{'a': 0.6, 'e': 0.4199999999999995}",30,8,-16.67006020498871,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 0}",1
